Start - 2018-06-17
03:39:52: 1- SrcIP: 127.0.0.1  |  SrcPort: 63549  |  Domain : dnstestsuite.space.
03:40:53: 1- SrcIP: 127.0.0.1  |  SrcPort: 63624  |  Domain : dnstestsuite.space.
03:45:59: 1- SrcIP: 127.0.0.1  |  SrcPort: 60416  |  Domain : dnstestsuite.space.
03:46:53: 1- SrcIP: 127.0.0.1  |  SrcPort: 63274  |  Domain : dnstestsuite.space.
03:47:42: 1- SrcIP: 127.0.0.1  |  SrcPort: 54659  |  Domain : dnstestsuite.space.
03:47:44: 2- SrcIP: 127.0.0.1  |  SrcPort: 54660  |  Domain : dnstestsuite.space.
03:47:45: 3- SrcIP: 127.0.0.1  |  SrcPort: 54661  |  Domain : dnstestsuite.space.
03:47:46: 4- SrcIP: 127.0.0.1  |  SrcPort: 54662  |  Domain : dnstestsuite.space.
03:47:46: 5- SrcIP: 127.0.0.1  |  SrcPort: 54663  |  Domain : dnstestsuite.space.
03:57:56: 1- SrcIP: 127.0.0.1  |  SrcPort: 59474  |  Domain : dnstestsuite.space.
03:58:47: 1- SrcIP: 127.0.0.1  |  SrcPort: 55302  |  Domain : dnstestsuite.space.
03:59:05: 1- SrcIP: 127.0.0.1  |  SrcPort: 63195  |  Domain : dnstestsuite.space.
03:59:37: 1- SrcIP: 127.0.0.1  |  SrcPort: 53260  |  Domain : dnstestsuite.space.
03:59:55: 1- SrcIP: 127.0.0.1  |  SrcPort: 52997  |  Domain : dnstestsuite.space.
04:01:24: 1- SrcIP: 127.0.0.1  |  SrcPort: 63294  |  Domain : dnstestsuite.space.
04:04:16: 1- SrcIP: 127.0.0.1  |  SrcPort: 49474  |  Domain : dnstestsuite.space.
04:06:42: 1- SrcIP: 127.0.0.1  |  SrcPort: 59089  |  Domain : dnstestsuite.space.
04:07:37: 1- SrcIP: 127.0.0.1  |  SrcPort: 62534  |  Domain : dnstestsuite.space.
04:09:02: 1- SrcIP: 127.0.0.1  |  SrcPort: 64994  |  Domain : dnstestsuite.space.
04:09:22: 1- SrcIP: 127.0.0.1  |  SrcPort: 49936  |  Domain : dnstestsuite.space.
04:09:58: 1- SrcIP: 127.0.0.1  |  SrcPort: 63368  |  Domain : dnstestsuite.space.
04:10:17: 1- SrcIP: 127.0.0.1  |  SrcPort: 63745  |  Domain : dnstestsuite.space.
04:10:27: 1- SrcIP: 127.0.0.1  |  SrcPort: 63745  |  Domain : dnstestsuite.space.
04:10:43: 1- SrcIP: 127.0.0.1  |  SrcPort: 63746  |  Domain : dnstestsuite.space.
04:13:51: 1- SrcIP: 127.0.0.1  |  SrcPort: 50029  |  Domain : dnstestsuite.space.
04:15:01: 1- SrcIP: 127.0.0.1  |  SrcPort: 61068  |  Domain : dnstestsuite.space.
04:16:02: 1- SrcIP: 127.0.0.1  |  SrcPort: 65078  |  Domain : dnstestsuite.space.
04:18:34: 1- SrcIP: 127.0.0.1  |  SrcPort: 65065  |  Domain : dnstestsuite.space.
04:19:03: 1- SrcIP: 127.0.0.1  |  SrcPort: 65065  |  Domain : dnstestsuite.space.
04:20:06: 1- SrcIP: 127.0.0.1  |  SrcPort: 64548  |  Domain : dnstestsuite.space.
04:21:44: 1- SrcIP: 127.0.0.1  |  SrcPort: 63186  |  Domain : dnstestsuite.space.
04:24:12: 1- SrcIP: 127.0.0.1  |  SrcPort: 64087  |  Domain : dnstestsuite.space.
04:25:21: 1- SrcIP: 127.0.0.1  |  SrcPort: 50393  |  Domain : dnstestsuite.space.
04:25:41: 1- SrcIP: 127.0.0.1  |  SrcPort: 49298  |  Domain : dnstestsuite.space.
04:26:07: 1- SrcIP: 127.0.0.1  |  SrcPort: 58303  |  Domain : dnstestsuite.space.
04:27:15: 1- SrcIP: 127.0.0.1  |  SrcPort: 49506  |  Domain : dnstestsuite.space.
04:27:51: 1- SrcIP: 127.0.0.1  |  SrcPort: 61459  |  Domain : dnstestsuite.space.
04:28:08: 1- SrcIP: 127.0.0.1  |  SrcPort: 61460  |  Domain : dnstestsuite.space.
04:28:24: 1- SrcIP: 127.0.0.1  |  SrcPort: 50533  |  Domain : dnstestsuite.space.
04:29:24: 1- SrcIP: 127.0.0.1  |  SrcPort: 57134  |  Domain : dnstestsuite.space.
04:30:05: 1- SrcIP: 127.0.0.1  |  SrcPort: 59695  |  Domain : dnstestsuite.space.
04:36:33: 1- SrcIP: 127.0.0.1  |  SrcPort: 64407  |  Domain : dnstestsuite.space.
04:36:36: 2- SrcIP: 127.0.0.1  |  SrcPort: 64408  |  Domain : dnstestsuite.space.
04:36:37: 3- SrcIP: 127.0.0.1  |  SrcPort: 51839  |  Domain : dnstestsuite.space.
04:36:37: 4- SrcIP: 127.0.0.1  |  SrcPort: 51840  |  Domain : dnstestsuite.space.
04:38:27: 1- SrcIP: 127.0.0.1  |  SrcPort: 49767  |  Domain : dnstestsuite.space.
04:38:29: 2- SrcIP: 127.0.0.1  |  SrcPort: 49768  |  Domain : dnstestsuite.space.
04:38:29: 3- SrcIP: 127.0.0.1  |  SrcPort: 49769  |  Domain : dnstestsuite.space.
04:38:30: 4- SrcIP: 127.0.0.1  |  SrcPort: 51872  |  Domain : dnstestsuite.space.
04:38:30: 5- SrcIP: 127.0.0.1  |  SrcPort: 51873  |  Domain : dnstestsuite.space.
04:38:31: 6- SrcIP: 127.0.0.1  |  SrcPort: 51874  |  Domain : dnstestsuite.space.
04:38:31: 7- SrcIP: 127.0.0.1  |  SrcPort: 51875  |  Domain : dnstestsuite.space.
04:38:32: 8- SrcIP: 127.0.0.1  |  SrcPort: 51876  |  Domain : dnstestsuite.space.
04:38:32: 9- SrcIP: 127.0.0.1  |  SrcPort: 58084  |  Domain : dnstestsuite.space.
04:38:33: 10- SrcIP: 127.0.0.1  |  SrcPort: 58085  |  Domain : dnstestsuite.space.
04:42:17: 1- SrcIP: 127.0.0.1  |  SrcPort: 56999  |  Domain : dnstestsuite.space.
04:44:23: 1- SrcIP: 127.0.0.1  |  SrcPort: 51708  |  Domain : dnstestsuite.space.
04:44:45: 1- SrcIP: 127.0.0.1  |  SrcPort: 49421  |  Domain : dnstestsuite.space.
04:44:47: 2- SrcIP: 127.0.0.1  |  SrcPort: 56845  |  Domain : dnstestsuite.space.
04:46:07: 1- SrcIP: 127.0.0.1  |  SrcPort: 62515  |  Domain : dnstestsuite.space.
04:46:09: 2- SrcIP: 127.0.0.1  |  SrcPort: 57263  |  Domain : dnstestsuite.space.
04:47:27: 1- SrcIP: 127.0.0.1  |  SrcPort: 51176  |  Domain : dnstestsuite.space.
04:50:12: 1- SrcIP: 127.0.0.1  |  SrcPort: 54231  |  Domain : dnstestsuite.space.
04:50:39: 1- SrcIP: 127.0.0.1  |  SrcPort: 63735  |  Domain : dnstestsuite.space.
04:52:57: 1- SrcIP: 127.0.0.1  |  SrcPort: 59948  |  Domain : dnstestsuite.space.
04:56:35: 1- SrcIP: 127.0.0.1  |  SrcPort: 53198  |  Domain : dnstestsuite.space.
05:02:15: 1- SrcIP: 127.0.0.1  |  SrcPort: 49496  |  Domain : dnstestsuite.space.
05:02:17: 2- SrcIP: 127.0.0.1  |  SrcPort: 54790  |  Domain : dnstestsuite.space.
05:03:56: 1- SrcIP: 127.0.0.1  |  SrcPort: 59536  |  Domain : dnstestsuite.space.
05:04:22: 1- SrcIP: 127.0.0.1  |  SrcPort: 62208  |  Domain : dnstestsuite.space.
05:04:23: 2- SrcIP: 127.0.0.1  |  SrcPort: 62209  |  Domain : dnstestsuite.space.
05:04:24: 3- SrcIP: 127.0.0.1  |  SrcPort: 62210  |  Domain : dnstestsuite.space.
05:04:25: 4- SrcIP: 127.0.0.1  |  SrcPort: 62211  |  Domain : dnstestsuite.space.
05:04:25: 5- SrcIP: 127.0.0.1  |  SrcPort: 62212  |  Domain : dnstestsuite.space.
05:04:26: 6- SrcIP: 127.0.0.1  |  SrcPort: 62213  |  Domain : dnstestsuite.space.
05:04:26: 7- SrcIP: 127.0.0.1  |  SrcPort: 62214  |  Domain : dnstestsuite.space.
05:04:27: 8- SrcIP: 127.0.0.1  |  SrcPort: 60488  |  Domain : dnstestsuite.space.
05:04:28: 9- SrcIP: 127.0.0.1  |  SrcPort: 60489  |  Domain : dnstestsuite.space.
05:04:29: 10- SrcIP: 127.0.0.1  |  SrcPort: 60490  |  Domain : dnstestsuite.space.
05:07:43: 1- SrcIP: 127.0.0.1  |  SrcPort: 61129  |  Domain : dnstestsuite.space.
05:09:54: 1- SrcIP: 127.0.0.1  |  SrcPort: 51539  |  Domain : dnstestsuite.space.
05:10:16: 1- SrcIP: 127.0.0.1  |  SrcPort: 59537  |  Domain : dnstestsuite.space.
05:10:29: 1- SrcIP: 127.0.0.1  |  SrcPort: 51375  |  Domain : dnstestsuite.space.
05:11:43: 1- SrcIP: 127.0.0.1  |  SrcPort: 59116  |  Domain : dnstestsuite.space.
05:12:11: 1- SrcIP: 127.0.0.1  |  SrcPort: 51759  |  Domain : dnstestsuite.space.
05:12:13: 2- SrcIP: 127.0.0.1  |  SrcPort: 51760  |  Domain : dnstestsuite.space.
05:12:14: 3- SrcIP: 127.0.0.1  |  SrcPort: 51762  |  Domain : dnstestsuite.space.
05:12:15: 4- SrcIP: 127.0.0.1  |  SrcPort: 55143  |  Domain : dnstestsuite.space.
05:12:15: 5- SrcIP: 127.0.0.1  |  SrcPort: 61417  |  Domain : dnstestsuite.space.
05:12:15: 6- SrcIP: 127.0.0.1  |  SrcPort: 61418  |  Domain : dnstestsuite.space.
05:12:16: 7- SrcIP: 127.0.0.1  |  SrcPort: 61419  |  Domain : dnstestsuite.space.
22:05:23: 1- SrcIP: 127.0.0.1  |  SrcPort: 64368  |  Domain : dnstestsuite.space.
22:05:34: 2- SrcIP: 127.0.0.1  |  SrcPort: 55869  |  Domain : dnstestsuite.space.
22:07:51: 1- SrcIP: 127.0.0.1  |  SrcPort: 65047  |  Domain : dnstestsuite.space.
22:08:19: 1- SrcIP: 127.0.0.1  |  SrcPort: 58468  |  Domain : dnstestsuite.space.
22:09:03: 1- SrcIP: 127.0.0.1  |  SrcPort: 59447  |  Domain : dnstestsuite.space.
22:09:22: 1- SrcIP: 127.0.0.1  |  SrcPort: 57722  |  Domain : dnstestsuite.space.
22:09:32: 1- SrcIP: 127.0.0.1  |  SrcPort: 61946  |  Domain : dnstestsuite.space.
22:10:02: 1- SrcIP: 127.0.0.1  |  SrcPort: 52349  |  Domain : dnstestsuite.space.
22:11:18: 1- SrcIP: 127.0.0.1  |  SrcPort: 56110  |  Domain : dnstestsuite.space.
22:11:56: 1- SrcIP: 127.0.0.1  |  SrcPort: 62402  |  Domain : dnstestsuite.space.
22:14:58: 1- SrcIP: 127.0.0.1  |  SrcPort: 52760  |  Domain : dnstestsuite.space.
22:15:28: 1- SrcIP: 127.0.0.1  |  SrcPort: 51207  |  Domain : dnstestsuite.space.
22:15:30: 2- SrcIP: 127.0.0.1  |  SrcPort: 51208  |  Domain : dnstestsuite.space.
22:15:31: 3- SrcIP: 127.0.0.1  |  SrcPort: 51210  |  Domain : dnstestsuite.space.
22:15:33: 4- SrcIP: 127.0.0.1  |  SrcPort: 51211  |  Domain : dnstestsuite.space.
22:15:33: 5- SrcIP: 127.0.0.1  |  SrcPort: 51212  |  Domain : dnstestsuite.space.
