Start - 2018-07-17
00:15:19: 38: RecordType: A | RequestId: 56654 | SrcIP: 172.217.42.12  |  SrcPort: 59772  |  Domain : 139-99-130-178.dnStestsuitE.SPACe
00:15:21: 39: RecordType: A | RequestId: 60075 | SrcIP: 139.99.128.97  |  SrcPort: 25911  |  Domain : 1_139-99-130-178.DNstestSUiTE.sPAce
00:15:22: 40: RecordType: A | RequestId: 39258 | SrcIP: 139.99.128.97  |  SrcPort: 65134  |  Domain : 2_139-99-130-178.dNsTeSTSUITe.spACE
00:15:24: 41: RecordType: A | RequestId: 48962 | SrcIP: 172.217.42.1  |  SrcPort: 52603  |  Domain : 3_139-99-130-178.DnstestSuItE.SPaCE
00:15:25: 42: RecordType: A | RequestId: 15472 | SrcIP: 139.99.128.97  |  SrcPort: 54624  |  Domain : 4_139-99-130-178.dNstEstSUitE.space
00:15:27: 43: RecordType: A | RequestId: 52360 | SrcIP: 172.217.42.15  |  SrcPort: 58537  |  Domain : 5_139-99-130-178.DNsTEStsuITE.sPACE
00:15:28: 44: RecordType: A | RequestId: 5710 | SrcIP: 139.99.128.97  |  SrcPort: 49857  |  Domain : 6_139-99-130-178.dnsteStsUiTe.space
00:15:30: 45: RecordType: A | RequestId: 20781 | SrcIP: 139.99.130.178  |  SrcPort: 17862  |  Domain : 7_139-99-130-178.DnSTEsTsuiTE.SpacE
00:15:31: 46: RecordType: A | RequestId: 381 | SrcIP: 139.99.130.178  |  SrcPort: 7352  |  Domain : 8_139-99-130-178.DNStEstsUite.sPACE
00:15:33: 47: RecordType: A | RequestId: 26463 | SrcIP: 172.217.42.10  |  SrcPort: 45829  |  Domain : 9_139-99-130-178.DNStEStsuIte.spaCE
00:15:34: 48: RecordType: A | RequestId: 13655 | SrcIP: 139.99.130.178  |  SrcPort: 15597  |  Domain : 10_139-99-130-178.dnstESTSUitE.SpAce
00:15:36: 49: RecordType: A | RequestId: 49311 | SrcIP: 139.99.128.97  |  SrcPort: 49904  |  Domain : 11_139-99-130-178.DnstESTSUiTE.spaCe
00:15:37: 50: RecordType: A | RequestId: 23439 | SrcIP: 139.99.128.97  |  SrcPort: 61508  |  Domain : 12_139-99-130-178.DnsTesTSuItE.space
00:15:38: 51: RecordType: A | RequestId: 15436 | SrcIP: 173.194.93.2  |  SrcPort: 65277  |  Domain : 13_139-99-130-178.dnSTeSTSUIte.sPaCe
00:15:40: 52: RecordType: A | RequestId: 34970 | SrcIP: 139.99.128.97  |  SrcPort: 40282  |  Domain : 14_139-99-130-178.DNSTESTsUiTe.sPACe
00:15:41: 53: RecordType: A | RequestId: 1048 | SrcIP: 173.194.171.5  |  SrcPort: 43622  |  Domain : 15_139-99-130-178.DnsTeStsuitE.SPACe
00:15:43: 54: RecordType: A | RequestId: 41066 | SrcIP: 139.99.128.97  |  SrcPort: 36416  |  Domain : 16_139-99-130-178.dNSTesTsuitE.Space
00:15:44: 55: RecordType: A | RequestId: 14163 | SrcIP: 172.217.42.5  |  SrcPort: 37815  |  Domain : 17_139-99-130-178.DnSTeSTsuiTE.sPACE
00:15:46: 56: RecordType: A | RequestId: 49690 | SrcIP: 173.194.171.4  |  SrcPort: 54545  |  Domain : 18_139-99-130-178.dnSTesTsuITe.SPaCE
00:15:47: 57: RecordType: A | RequestId: 56607 | SrcIP: 139.99.130.178  |  SrcPort: 46712  |  Domain : 19_139-99-130-178.DnstESTSuiTE.SPAce
00:15:48: 58: RecordType: A | RequestId: 16109 | SrcIP: 139.99.128.97  |  SrcPort: 45520  |  Domain : 20_139-99-130-178.DNStEStSUITE.spACE
00:15:50: 59: RecordType: A | RequestId: 24385 | SrcIP: 139.99.128.97  |  SrcPort: 15601  |  Domain : 21_139-99-130-178.dnsteSTSuiTe.SpAce
00:15:51: 60: RecordType: A | RequestId: 40728 | SrcIP: 139.99.128.97  |  SrcPort: 51633  |  Domain : 22_139-99-130-178.dNstESTsUIte.SPAce
00:15:52: 61: RecordType: A | RequestId: 7962 | SrcIP: 139.99.130.178  |  SrcPort: 33137  |  Domain : 23_139-99-130-178.DnsTEsTSUITE.spacE
00:15:54: 62: RecordType: A | RequestId: 20612 | SrcIP: 139.99.128.97  |  SrcPort: 47160  |  Domain : 24_139-99-130-178.DNsTEstSUiTE.space
00:15:55: 63: RecordType: A | RequestId: 3527 | SrcIP: 173.194.171.1  |  SrcPort: 49898  |  Domain : 25_139-99-130-178.DnSTEstSuIte.sPAce
00:15:57: 64: RecordType: A | RequestId: 10987 | SrcIP: 139.99.130.178  |  SrcPort: 25552  |  Domain : 26_139-99-130-178.DnstEStSuite.sPace
00:15:58: 65: RecordType: A | RequestId: 30105 | SrcIP: 173.194.93.14  |  SrcPort: 38426  |  Domain : 27_139-99-130-178.DNSTESTsuite.sPace
