Start - 2018-08-08
14:36:53: 1: RecordType: A | RequestId: 18844 | SrcIP: 193.60.240.100  |  SrcPort: 30873  |  Domain: dnstestsuite.space
14:36:53: 2: RecordType: A | RequestId: 23635 | SrcIP: 193.60.238.100  |  SrcPort: 29087  |  Domain: dnstestsuite.space
14:36:57: 3: RecordType: A | RequestId: 50075 | SrcIP: 176.10.99.200  |  SrcPort: 31134  |  Domain: 71_176-10-99-206.DnstesTsUIte.space
14:36:57: 4: RecordType: A | RequestId: 22356 | SrcIP: 176.10.99.200  |  SrcPort: 64479  |  Domain: ns2.dnstestsuite.space
14:36:57: 5: RecordType: A | RequestId: 62874 | SrcIP: 176.10.99.200  |  SrcPort: 33475  |  Domain: ns.dnstestsuite.space
14:36:57: 6: ** ERROR ** : RecordType: AAAA | RequestId: 4412 | SrcIP: 176.10.99.200  |  SrcPort: 24646  |  Domain: ns2.dnstestsuite.space
14:36:57: 7: ** ERROR ** : RecordType: AAAA | RequestId: 42214 | SrcIP: 176.10.99.200  |  SrcPort: 12543  |  Domain: ns.dnstestsuite.space
14:36:57: 8: ** ERROR ** : RecordType: AAAA | RequestId: 5552 | SrcIP: 176.10.99.200  |  SrcPort: 61122  |  Domain: ns2.dnstestsuite.space
14:36:57: 9: ** ERROR ** : RecordType: AAAA | RequestId: 40318 | SrcIP: 176.10.99.200  |  SrcPort: 44160  |  Domain: ns.dnstestsuite.space
14:36:57: 10: ** ERROR ** : RecordType: AAAA | RequestId: 39538 | SrcIP: 176.10.99.200  |  SrcPort: 64175  |  Domain: ns2.dnstestsuite.space
14:36:57: 11: ** ERROR ** : RecordType: AAAA | RequestId: 32500 | SrcIP: 176.10.99.200  |  SrcPort: 52268  |  Domain: ns.dnstestsuite.space
14:36:57: 12: ** ERROR ** : RecordType: AAAA | RequestId: 3533 | SrcIP: 176.10.99.200  |  SrcPort: 9323  |  Domain: ns2.dnstestsuite.space
14:36:57: 13: ** ERROR ** : RecordType: AAAA | RequestId: 49660 | SrcIP: 176.10.99.200  |  SrcPort: 25210  |  Domain: ns.dnstestsuite.space
14:36:57: 14: ** ERROR ** : RecordType: AAAA | RequestId: 15798 | SrcIP: 176.10.99.200  |  SrcPort: 31136  |  Domain: ns2.dnstestsuite.space
14:36:57: 15: ** ERROR ** : RecordType: AAAA | RequestId: 277 | SrcIP: 176.10.99.200  |  SrcPort: 12884  |  Domain: ns.dnstestsuite.space
14:36:57: 16: ** ERROR ** : RecordType: AAAA | RequestId: 28177 | SrcIP: 176.10.99.200  |  SrcPort: 61465  |  Domain: ns2.dnstestsuite.space
14:36:57: 17: ** ERROR ** : RecordType: AAAA | RequestId: 32293 | SrcIP: 176.10.99.200  |  SrcPort: 54753  |  Domain: ns.dnstestsuite.space
14:36:58: 18: ** ERROR ** : RecordType: AAAA | RequestId: 668 | SrcIP: 176.10.99.200  |  SrcPort: 37094  |  Domain: ns2.dnstestsuite.space
14:36:58: 19: ** ERROR ** : RecordType: AAAA | RequestId: 52279 | SrcIP: 176.10.99.200  |  SrcPort: 12667  |  Domain: ns.dnstestsuite.space
