Start - 2018-08-09
00:00:10: 2: RecordType: A | RequestId: 13098 | SrcIP: 54.219.13.115  |  SrcPort: 52286  |  Domain: ns.dnstestsuite.space
00:38:23: 3: ** ERROR ** : RecordType: TXT | RequestId: 13551 | SrcIP: 176.32.32.225  |  SrcPort: 51094  |  Domain: VERSION.BIND
00:56:08: 4: RecordType: A | RequestId: 2593 | SrcIP: 82.196.193.202  |  SrcPort: 7892  |  Domain: 31-185-27-203.dNSTeStSUite.SPAcE
00:56:08: 5: ** ERROR ** : RecordType: AAAA | RequestId: 49768 | SrcIP: 82.196.193.204  |  SrcPort: 47583  |  Domain: ns2.dnstestsuite.space
00:56:08: 6: ** ERROR ** : RecordType: AAAA | RequestId: 2940 | SrcIP: 82.196.193.204  |  SrcPort: 51418  |  Domain: ns.dnstestsuite.space
00:56:09: 7: ** ERROR ** : RecordType: AAAA | RequestId: 43229 | SrcIP: 82.196.193.202  |  SrcPort: 62567  |  Domain: ns2.dnstestsuite.space
00:56:09: 8: ** ERROR ** : RecordType: AAAA | RequestId: 59482 | SrcIP: 82.196.193.202  |  SrcPort: 10431  |  Domain: ns.dnstestsuite.space
00:56:09: 9: ** ERROR ** : RecordType: AAAA | RequestId: 22999 | SrcIP: 82.196.193.202  |  SrcPort: 62824  |  Domain: ns.dnstestsuite.space
00:56:09: 10: ** ERROR ** : RecordType: AAAA | RequestId: 42601 | SrcIP: 82.196.193.204  |  SrcPort: 29509  |  Domain: ns2.dnstestsuite.space
00:56:09: 11: ** ERROR ** : RecordType: AAAA | RequestId: 35694 | SrcIP: 82.196.193.202  |  SrcPort: 50939  |  Domain: ns.dnstestsuite.space
00:56:09: 12: ** ERROR ** : RecordType: AAAA | RequestId: 55457 | SrcIP: 82.196.193.204  |  SrcPort: 38295  |  Domain: ns2.dnstestsuite.space
00:56:09: 13: ** ERROR ** : RecordType: AAAA | RequestId: 11437 | SrcIP: 82.196.193.204  |  SrcPort: 17474  |  Domain: ns2.dnstestsuite.space
00:56:09: 14: ** ERROR ** : RecordType: AAAA | RequestId: 33018 | SrcIP: 82.196.193.204  |  SrcPort: 45807  |  Domain: ns.dnstestsuite.space
00:56:09: 15: RecordType: A | RequestId: 289 | SrcIP: 82.196.193.202  |  SrcPort: 17444  |  Domain: ns2.dnstestsuite.space
00:56:09: 16: ** ERROR ** : RecordType: AAAA | RequestId: 35522 | SrcIP: 82.196.193.204  |  SrcPort: 10535  |  Domain: ns.dnstestsuite.space
