Start - 2018-08-11
00:06:30 2018-08-11 - 110: ** ERROR ** : | RecordType: A | RequestId: 35910 | SrcIP: 141.212.123.32  |  SrcPort: 59270  |  Domain: researchscan541.eecs.umich.edu 
00:25:54 2018-08-11 - 111: ** ERROR ** : | RecordType: AAAA | RequestId: 3247 | SrcIP: 70.42.131.102  |  SrcPort: 30989  |  Domain: 217-100-113-174.dnstestsuite.space 
00:25:54 2018-08-11 - 112: | RecordType: A | RequestId: 61117 | SrcIP: 70.42.131.102  |  SrcPort: 47510  |  Domain: 217-100-113-174.dnstestsuite.space 
00:25:54 2018-08-11 - 113: ** ERROR ** : | RecordType: AAAA | RequestId: 59862 | SrcIP: 70.42.131.102  |  SrcPort: 33324  |  Domain: 217-100-113-174.dnstestsuite.space 
00:25:54 2018-08-11 - 114: ** ERROR ** : | RecordType: AAAA | RequestId: 41690 | SrcIP: 70.42.131.102  |  SrcPort: 36232  |  Domain: ns2.dnstestsuite.space 
00:25:54 2018-08-11 - 115: ** ERROR ** : | RecordType: AAAA | RequestId: 33508 | SrcIP: 70.42.131.102  |  SrcPort: 9806  |  Domain: ns.dnstestsuite.space 
00:25:54 2018-08-11 - 116: ** ERROR ** : | RecordType: AAAA | RequestId: 33885 | SrcIP: 70.42.131.102  |  SrcPort: 43025  |  Domain: ns2.dnstestsuite.space 
00:25:54 2018-08-11 - 117: ** ERROR ** : | RecordType: AAAA | RequestId: 1169 | SrcIP: 70.42.131.102  |  SrcPort: 59293  |  Domain: ns.dnstestsuite.space 
00:31:22 2018-08-11 - 118: ** ERROR ** : | RecordType: A | RequestId: 64206 | SrcIP: 74.82.47.34  |  SrcPort: 11789  |  Domain: dnsscan.shadowserver.org 
00:57:20 2018-08-11 - 119: | RecordType: A | RequestId: 26864 | SrcIP: 173.194.103.138  |  SrcPort: 55294  |  Domain: 35-248-27-205.DnsteSTsuITE.SPaCE 
00:57:21 2018-08-11 - 120: | RecordType: A | RequestId: 18386 | SrcIP: 74.125.113.135  |  SrcPort: 43650  |  Domain: 1_35-248-27-205.DNSteStsuite.SPAce 
00:57:22 2018-08-11 - 121: | RecordType: A | RequestId: 41564 | SrcIP: 173.194.94.143  |  SrcPort: 36177  |  Domain: 2_35-248-27-205.DnStEstSUItE.spAce 
00:57:22 2018-08-11 - 122: | RecordType: A | RequestId: 19325 | SrcIP: 173.194.103.130  |  SrcPort: 35715  |  Domain: 3_35-248-27-205.DnsTestsUIte.spacE 
00:57:23 2018-08-11 - 123: | RecordType: A | RequestId: 8766 | SrcIP: 74.125.76.15  |  SrcPort: 58086  |  Domain: 4_35-248-27-205.dnstEstSUitE.SpACe 
00:57:24 2018-08-11 - 124: | RecordType: A | RequestId: 63093 | SrcIP: 173.194.103.135  |  SrcPort: 57309  |  Domain: 5_35-248-27-205.dNSTesTSuite.SPaCe 
00:57:25 2018-08-11 - 125: | RecordType: A | RequestId: 3181 | SrcIP: 173.194.103.1  |  SrcPort: 58203  |  Domain: 6_35-248-27-205.DnSTEStSuIte.spaCE 
00:57:26 2018-08-11 - 126: | RecordType: A | RequestId: 31471 | SrcIP: 74.125.76.5  |  SrcPort: 41216  |  Domain: 7_35-248-27-205.dNStEStsUitE.SpaCE 
00:57:27 2018-08-11 - 127: | RecordType: A | RequestId: 63329 | SrcIP: 173.194.94.139  |  SrcPort: 40332  |  Domain: 8_35-248-27-205.DnsTesTsUITe.SpacE 
00:57:28 2018-08-11 - 128: | RecordType: A | RequestId: 60957 | SrcIP: 74.125.72.8  |  SrcPort: 53356  |  Domain: 9_35-248-27-205.DNstesTsUiTE.sPaCE 
00:57:29 2018-08-11 - 129: | RecordType: A | RequestId: 53115 | SrcIP: 74.125.113.136  |  SrcPort: 54264  |  Domain: 10_35-248-27-205.DnstEStsUiTe.SPaCE 
00:57:30 2018-08-11 - 130: | RecordType: A | RequestId: 15741 | SrcIP: 74.125.179.66  |  SrcPort: 57889  |  Domain: 11_35-248-27-205.DNsTesTsuITe.spacE 
00:57:30 2018-08-11 - 131: | RecordType: A | RequestId: 1259 | SrcIP: 173.194.103.66  |  SrcPort: 38091  |  Domain: 12_35-248-27-205.DNsteSTSUITe.SPAce 
00:57:31 2018-08-11 - 132: | RecordType: A | RequestId: 52108 | SrcIP: 74.125.72.149  |  SrcPort: 45139  |  Domain: 13_35-248-27-205.DnstEStsUItE.sPACe 
00:57:32 2018-08-11 - 133: | RecordType: A | RequestId: 20403 | SrcIP: 173.194.103.77  |  SrcPort: 60108  |  Domain: 14_35-248-27-205.DnsTEStSUiTe.SPAce 
00:57:33 2018-08-11 - 134: | RecordType: A | RequestId: 9777 | SrcIP: 74.125.76.6  |  SrcPort: 44620  |  Domain: 15_35-248-27-205.dnsteSTsUiTe.spacE 
00:57:34 2018-08-11 - 135: | RecordType: A | RequestId: 44006 | SrcIP: 173.194.103.137  |  SrcPort: 54816  |  Domain: 16_35-248-27-205.dNStESTSuIte.SPaCe 
00:57:35 2018-08-11 - 136: | RecordType: A | RequestId: 25385 | SrcIP: 74.125.179.7  |  SrcPort: 58364  |  Domain: 17_35-248-27-205.dNSteSTSuiTe.sPACE 
00:57:36 2018-08-11 - 137: | RecordType: A | RequestId: 31451 | SrcIP: 74.125.113.129  |  SrcPort: 53809  |  Domain: 18_35-248-27-205.dNSTestsUiTE.SPacE 
00:57:37 2018-08-11 - 138: | RecordType: A | RequestId: 11375 | SrcIP: 74.125.179.65  |  SrcPort: 41805  |  Domain: 19_35-248-27-205.dNStestsUite.spacE 
00:57:38 2018-08-11 - 139: | RecordType: A | RequestId: 23407 | SrcIP: 74.125.72.6  |  SrcPort: 54652  |  Domain: 20_35-248-27-205.DNsteStSuItE.sPAce 
00:57:38 2018-08-11 - 140: | RecordType: A | RequestId: 19937 | SrcIP: 74.125.113.148  |  SrcPort: 55294  |  Domain: 21_35-248-27-205.DnsTESTSuIte.sPACe 
00:57:39 2018-08-11 - 141: | RecordType: A | RequestId: 63784 | SrcIP: 74.125.76.5  |  SrcPort: 48454  |  Domain: 22_35-248-27-205.DNstEstSUiTe.sPacE 
